node_id,level,n_leaves,label,top_dishes
N78299,0,1841,fish dishes,fish taco; chips fish; grilled salmon; salmon teriyaki; fish sandwich; grilled tilapia; ancho salmon; fish fried
N77594,1,104,goat curry dishes,curry goat; goat vindaloo; goat korma; curry goat karahi; curry goat korma; curry goat vindaloo; curry goat gongura; goat saag
N77954,1,211,beef-based dishes,cheese steak wrap; beef peas snow; beef sandwich shawarma; cheese firehouse steak sub; beef oyster sauce; beans beef string; bean beef black sauce; beef chinese vegetable
N77974,1,145,tilapia dishes,grilled tilapia; fried tilapia; blackened tilapia; fillet tilapia; sandwich tilapia; shrimp tilapia; blackened light tilapia; basket fried tilapia
N78053,1,408,beef dishes,beef broccoli; beef roast wrap; pepper steak; beef teriyaki; beef garlic sauce; beef mixed vegetables; beef mushroom; beef sesame
N78158,1,1287,mexican-inspired wraps and tacos,bean black chalupa supreme; italian wrap; bacon baja chicken wrap; bacon baja bowl chicken; bacon baja chicken melt sandwich; chicken taco; soft taco; soft supreme taco
N78138,1,529,seafood dishes,fish taco; chips fish; fish sandwich; curry fish; ceviche de tostada; fish shrimp; ceviche; catfish sandwich
N78093,1,238,beef dishes,barbacoa taco; carne guisada; birria taco; bbq cowboy; carne guisada taco; barbacoa; burger oldtimer; barbacoa plate
N78056,1,235,smoked brisket dishes,brisket smokehouse; brisket taco; brisket burger smoked; beef brisket cheddar smokehouse sub; brisket sandwich smoked; bbq brisket burger; brisket plate; brisket street taco wrap
N77904,1,411,Mediterranean chicken dishes,italian melt sandwich spicy; gyro plate; greek gyro sandwich; chicken gyro; chicken sandwich shawarma; chicken plate shawarma; gyro wrap; chicken shawarma wrap
N78166,1,119,beef rib dishes,beef ribs; prime rib sandwich; dipper prime rib sandwich; classic dip prime rib; classic prime rib steak; outback prime rib steak style; rib sandwich; plate rib
N78261,0,574,beef dishes,cali fresh sandwich steak sub; beef broccoli; beef roast wrap; cali fresh steak wrap; pepper steak; beef teriyaki; beef garlic sauce; beef mixed vegetables
N77955,0,352,chicken wing dishes,traditional wings; chicken wings; bone breaded out wings; bone smoked wings; buffalo wings; fried kentucky wings; bbq wings; classic wings
N78147,1,1030,pizza varieties,cheese pizza; pizza supreme; lovers meat pizza; margherita pizza; hawaiian pizza; pepperoni pizza; pizza veggie; lover pizza veggie
N78004,1,109,cheese grilled sandwiches,cheese grilled sandwich; cheese classic grilled sandwich; cheese crusted four melt sandwich; cheese sandwich veggie; cheese melt sandwich; burger cheese grilled; cheese grilled sandwich ultimate; cheese club ham sandwich
N78127,1,440,breakfast egg dishes,egg foo vegetable young; bacon breakfast platter sausage; breakfast platter sausage; bacon breakfast platter; mushroom omelette spinach; cheese ham omelet; omelet veggie; bacon omelette temptation
N78073,1,60,seafood fish dishes,fish flounder sandwich spicy; classic fish flounder sandwich; bass chilean sea; flounder lobster stuffed topped; bass chilean oolong sea; filet flounder; boy flounder po sub; bass sea sushi
N77981,1,97,hot dogs,dog hot; all american dog; cheese chili coney; cheese dog; bacon cheese dog; bacon dog; chili dog; dog hot kosher style
N78146,1,197,lamb dishes,chops lamb; kebab lamb; boti kebab lamb; lamb rack; lamb wrap; kabob kafta plate; chops grilled lamb; kebab lamb shish
N77433,1,56,turkey sandwich variations,ham oven roasted sandwich sub turkey; italiano sandwich sub turkey; sandwich turkey; roast sandwich swiss turkey; classic plate sandwich turkey; classic sandwich turkey; bacon club sandwich turkey; roast swiss turkey wrap
N78101,1,223,ham cheese sandwiches,cheese ham melt sandwich; black forest ham wrap; black bowl forest ham; black cheese egg forest ham wrap; cheese ham sub; ham provolone sub; deli sandwich turkey; ham sandwich
N77982,1,95,plantain-based dishes,con pollo tajadas; fried plantains; de mofongo pollo relleno; mofongo; camarones de mofongo relleno; churrasco de mofongo relleno; carne con molida tajadas; carne de frita mofongo relleno
N78144,1,114,fusion protein dishes,beef kabob; bowl fajita impossible; burrito fajita impossible; noodle pasta rama; soup thai wonton; free gluten pepperoni pizza; beef hot pot; hibachi rice steak
N77911,1,95,torta varieties,al pastor torta; asada carne torta; carnitas torta; chorizo torta; steak torta; lengua torta; barbacoa torta; beef torta
N77464,1,74,avocado dishes,avocado toast; avocado stuffed; avocado fried taco; avocado egg spinach white; guacamole taco; avocado egg rolls; avocado crab melt sandwich; avocado cheese egg sandwich
N78098,1,291,veggie mexican dishes,bean burrito cheesy rice; burrito fiesta veggie; bean burrito; bean black chalupa cheddar toasted; patty veggie wrap; bowl patty veggie; burger veggie; beans black rice
N78298,0,1120,poultry and meat dishes,chicken rotisserie style wrap; bowl chicken rotisserie style; lobster sauce shrimp; gyro sandwich; chicken tandoori; burger turkey; chicken platter tender; curry massaman
N77409,1,59,spinach-based dishes,aloo saag; creamed platter spinach; aloo palak; cheese cottage spinach; feta pizza spinach; cheese cottage curry spinach; curry saag; bacon salade spinach strawberry
N78041,1,278,pasta with meat sauce,bowl marinara meatball; meatballs pasta spaghetti; lasagna pasta; baked pasta ziti; manicotti pasta; meat pasta sauce spaghetti; lasagna; meatballs spaghetti
N77372,1,62,duck dishes,crispy duck; curry duck; curry duck roast; duck smoked tea; curry duck red roasted; curry duck red; duck over rice roast; duck smoked
N78265,0,661,tofu dishes,ma po tofu; roll vegetable; teriyaki tofu; general tofu tso; kung pao tofu; sesame tofu; mapo tofu; fried rice tofu
N78306,0,3120,subs and pasta dishes,sandwich sub tuna; black forest ham sandwich sub; delite sandwich sub veggie; pizza sandwich sub; sub veggie; bowl marinara meatball; meatballs pasta spaghetti; dog hot
N77910,1,80,cauliflower dishes,cauliflower wings; barbacoa cauliflower enlightened pita tacos; gobi manchurian; cauliflower taco; cauliflower crust pizza traditional; cauliflower dry pot; cauliflower roasted; cauliflower steak
N78175,1,196,cheese-based dishes,cheese grilled mac sandwich; cheese macaroni; cheese mac; cheese mac pizza; artichoke dip spinach; cheese cheetos crunchy; cheese mac platter steakhouse; brisket mac stack
N77739,1,99,italian sausage dishes,italian sandwich sausage; pepperoni pizza sausage; parmigiana sausage sub; italian sausage; italian pasta sausage spaghetti; peppers sandwich sausage; bird dogs italian sandwich; mushroom pepperoni pizza sausage
N78152,1,377,vegetable based dishes,aloo gobi; cheese classic creamy grilled soup tomato; creamy sandwich soup tomato tuna; de gallo pico; korma navratan; greek salad; chaat samosa; curry vegetable
N77998,1,190,chickpea based dishes,falafel sandwich; chana masala; falafel plate; falafel wrap; chana curry masala; chana saag; bowl crispy falafel; falafel pita
N77917,1,582,chicken pizza varieties,buffalo chicken pizza; bbq chicken pizza; chicken hawaiian pizza; backyard bbq chicken pizza; greek pizza; bacon chicken pizza ranch; deluxe pizza; alfredo chicken pizza
N78102,1,332,potato based dishes,cheese chips nacho sauce; browns hash; cheesy fiesta potatoes; breakfast crispy potatoes; bacon burger rancher; baked potato; baked loaded potato; potato roll sweet
N78131,1,495,chicken club dishes,buffalo chicken melt sandwich; club sub; bacon bowl chicken ranch; all american bowl club; italian melt sandwich; feast flatbread pizza; chicken parmesan; all american club wrap
N78111,1,186,pork rib dishes,bbq ribs; pork ribs; baby back ribs; baby back pork ribs; plate pork rack rib; outback ribs; applebee platter riblets; baby back rack ribs
N78291,0,1836,meat-based dishes,beef roast sandwich sub; cheese quesadilla; cheese steak wrap; beef bowl roast; reuben sandwich; nachos; chicken fried steak; bellgrande nachos
N78242,0,926,burger cheeseburger variations,patty sandwich sub veggie; burger cheeseburger; bacon burger cheeseburger; bacon big burger classic; bacon big burger cheddar cheeseburger; bacon bourbon burger cheeseburger; cheeseburger; burger cheese
N78305,0,1688,breakfast and sandwich dishes,ham oven roasted sandwich sub turkey; blt sandwich; cheese ham melt sandwich; italiano sandwich sub turkey; cheese grilled sandwich; french toast; black forest ham wrap; black bowl forest ham
N77611,1,46,New York strip steak,steak strip york; steak york; bone steak strip york; ny oz strip; ny steak strip; eggs steak york; lobster ny steak; strip wagyu york
N78174,1,329,pasta dishes,cheese pasta ravioli; alfredo fettuccine; pasta ravioli; pasta shells stuffed; cheese ravioli; cauliflower cream garlic pasta rigatoni roasted; pepperoni pizza zesty; marinara pasta sauce spaghetti
N78154,1,344,vegetable dishes,bowl menu power veggie; delite veggie wrap; chile relleno; mixed vegetables; mediterranean sandwich veggie; mixed steamed vegetables; veggie wrap; fajita veggie
N76926,1,43,ice cream desserts,spumoni; floats; banana boat; banana concrete foster; banana concrete; banana concrete oreo; banana chocolate concrete covered; concrete pineapple
N78061,1,97,fruit based dishes,mango pomegranate salad; honey hot wings; beet salad; labneh; acai bowl; de frutas jugo; club havana sandwich; bowl fresh fruit
N78176,1,424,sandwich and sub varieties,sandwich sub tuna; black forest ham sandwich sub; delite sandwich sub veggie; pizza sandwich sub; sub veggie; breakfast grilled sandwich sourdough swiss; cubana torta; cheese flatbread pizza
N77973,1,598,chicken dishes,chicken teriyaki; chicken orange; chicken honey mustard rotisserie style wrap; bowl chicken honey mustard rotisserie style; breast chicken grilled; chicken grilled wrap; bowl chicken grilled; chicken grilled
N78260,0,777,pork dishes,moo pork shu; chops pork; chow mein pork; cooked pork twice; egg foo pork young; pork teriyaki; potstickers; broccoli pork roast
N78165,1,70,broccoli vegetable dishes,broccoli garlic sauce; broccoli steamed; broccoli sauteed; broccoli oyster sauce; broccoli chinese oyster sauce; broccoli fried stir; brussels enlightened kale roasted salad sprouts; brussels honey sprouts sriracha
N78070,1,198,chicken rice dishes,chicken vindaloo; biryani boneless chicken; biryani chicken tikka; biryani chicken fry; arepa pepiada reina; biryani chicken special; arepa domino; avakai biryani chicken
N78126,1,1211,chinese chicken dishes,chicken kung pao; broccoli chicken; chicken sour sweet; chicken general tso; chicken sesame; chicken onion sweet teriyaki wrap; bowl chicken onion sweet teriyaki; cashew chicken nuts
N77879,1,288,curry chicken dishes,chicken curry; curry green; curry red; curry panang; curry yellow; chicken chile mango; curry pineapple; khing pad prik
N78030,1,123,thai fried rice dishes,fried rice thai; basil fried rice; basil fried rice spicy; fried pasta rice thai; curry fried rice yellow; curry fried green rice; basil fried pasta rice; basil fried rice thai
N77925,1,98,ribeye steak dishes,eye rib steak; classic ribeye; bone ribeye steak; eye rib; bbq korean spicy steak; bacon eye jam rib steak; grilled ribeye; eye rib sandwich steak
N78038,1,189,eggplant-based dishes,eggplant parmigiana; eggplant parmigiana pasta; eggplant garlic sauce; baingan bharta; eggplant parmesan; eggplant spicy; eggplant parmesan sub; moussaka
N77932,1,236,sausage dishes,breakfast burrito sausage; extreme sandwich sausage; breakfast burrito cheese egg sausage; coney pound quarter; links pork sausage; breakfast cheesy egg melt sausage; sandwich sausage; egg sausage taco
N78032,1,201,salmon eel sushi rolls,roll salmon; roll salmon spicy; avocado roll salmon; eel roll; salmon sushi; avocado eel roll; enlightened noodles pacific poke soba; bowl poke salmon
N77963,1,312,sushi rolls,california roll; roll shrimp tempura; rainbow roll; roll spider; dragon roll; caterpillar roll; crunch roll; california roll spicy
N77956,1,59,yellowtail sushi dishes,roll yellowtail; roll spicy yellowtail; sushi yellowtail; roll scallion yellowtail; hama negi roll; hamachi sushi; hand roll yellowtail; crunchy roll spicy yellowtail
N76399,1,30,sashimi dishes,sashimi sushi; deluxe sashimi sushi; sashimi; plate sashimi sushi; for sashimi sushi two; omakase sashimi sushi; platter sashimi; color sashimi sushi tri
N77588,1,41,pastrami sandwiches,pastrami sub; hot pastrami sandwich; rachel sandwich; pastrami reuben sandwich; melt pastrami sandwich; big hot pastrami sandwich sub; pastrami rye sandwich; cheese pastrami sub
N78171,1,1036,shrimp dishes,broccoli shrimp; kung pao shrimp; garlic sauce shrimp; shrimp sour sweet; fried shrimp; hunan shrimp; camarones diabla la; egg foo shrimp young
N78181,1,90,seafood dishes,lobster tail; crab legs snow; crab snow; crab king legs; crawfish etouffee; crab king; caught crab legs snow wild; crawfish tails
N77931,1,327,pork Mexican dishes,al pastor taco; carnitas taco; al burrito pastor; burrito carnitas; al pastor quesadilla; carnitas plate; pork taco; pork pulled street style taco
N77820,1,190,paneer dishes,kofta malai; masala paneer tikka; paneer saag; palak paneer; kadai paneer; mutter paneer; paneer shahi; butter masala paneer
N77760,1,63,mutton dishes,biryani mutton; curry gongura mutton; biryani dum mutton; curry karahi mutton; masala mutton; biryani dum hyderabadi mutton; curry kolambu mutton; biryani boneless mutton
N78162,1,413,tofu dishes,ma po tofu; teriyaki tofu; general tofu tso; kung pao tofu; sesame tofu; mapo tofu; bean curd home style; bean curd style szechuan
N77715,1,77,red snapper dishes,fillet grilled red snapper; frito huachinango; fillet red snapper; diabla huachinango la; fried red snapper; lunch red snapper taco; escovitch fish; huachinango
N78039,1,93,banh mi sandwiches,banh grilled mi pork sandwich; banh mi sandwich tofu; banh chicken mi sandwich; banh ga mi nuong sandwich; banh beef grilled mi sandwich; banh beef mi; french kiss roll; banh chicken grilled mi
N77768,1,63,cod dishes,arctic chips cod fish; battered beer cod; cod sandwich; cod fried sandwich; deep fish fried sauce sour sweet; cod fish sandwich; cod fried; breaded cod
N78087,1,268,spicy shrimp dishes,curry shrimp; hibachi shrimp; bowl chipotle fresh mex shrimp; arroz camarones con; curry onion shrimp; masala shrimp tikka; bowl mex shrimp tex; bowl shrimp
N78049,1,130,breads and pancakes,garlic naan; hawaiian roll; naan; naan plain; rolls yeast; hawaiian roll sushi; butter naan; garlic knots warm
N77992,1,244,breakfast egg dishes,bacon cheese egg wrap; huevos rancheros; cheese egg wrap; breakfast burrito; bacon egg taco; bacon breakfast burrito; huevos la mexicana; breakfast burrito lovers meat
N78139,1,167,fish dishes,grilled mahi taco; mahi taco; burrito grilled mahi; burrito mahi tempura; mahi taco tempura; citrus heat mahi taco; sushi unagi; bowl burrito grilled mahi
N78157,1,247,chorizo dishes,chorizo egg taco; chorizo con huevos; chorizo taco; burrito chorizo; bean chorizo taco; chorizo egg plate; chorizo potato taco; campechano taco
N78050,1,216,biryani varieties,biryani chicken; biryani shrimp; biryani vegetable; biryani goat; biryani paneer; biryani fish; biryani veggie; biryani dum veg
N77794,1,97,bacon-based dishes,blt sandwich; bacon burger buttery jack swiss; bacon hickory smoked strips; bacon strips turkey; avocado blt sandwich; blt classic sandwich; baconator breakfast; bacon lettuce sandwich tomato
N78302,0,2029,fried rice dishes,chicken fried rice; fried rice shrimp; beef fried rice; fried rice vegetable; chicken lo mein; lo mein shrimp; beef lo mein; lo mein vegetable
N78059,1,456,noodle and rice dishes,drunken noodles pasta; noodle pasta rice singapore; lad na pasta; chow house mein special; fried noodles pan pasta; chicken fun mei; chicken chow fun mei; noodles pasta singapore
N77810,1,99,Mexican masa dishes,gorditas; tamales; sopes; plate tamale; sope; chicken tamales; plate sopes; chicken gordita
N78062,1,124,mushroom dishes,grilled mushroom portabella sub swiss; burger ed saut shroom; fried mushrooms; ed mushrooms saut; masala mushroom; mushroom pizza wild; char portabella; matar mushroom
N78011,1,148,scallop dishes,garlic sauce scallops; roll scallop spicy; scallop sushi; kung pao scallops; hunan scallop; broccoli scallop; mixed scallops vegetables; scallop teriyaki
N78140,1,215,tuna dishes,melt sandwich tuna; tuna wrap; bowl tuna; salad sandwich tuna; fish sub tuna; melt tuna; spicy tuna; ahi bowl poke tuna
N78159,1,146,spicy fried dishes,bhindi masala; masala okra; bhindi curry masala; musubi spam; medu vada; bhindi do pyaza; dry korean rub wings; chocolate dosa
N77867,1,144,pork chop dishes,chops pork; chop plate pork; chops grilled pork; chops eggs pork; chop pork sandwich; chops fried pork; chop pork taco; chop pepper pork salt
N78119,1,89,octopus squid dishes,octopus sushi; pepper salt squid; ajo al de mojo pulpo; octopus sushi tako; de pulpo tostada; coctel de pulpo; octopus tostada; de ensalada pulpo
N78160,1,207,shrimp pasta dishes,scampi shrimp; cajun pasta shrimp; marinara pasta spaghetti; alfredo pasta shrimp; pasta scampi shrimp; pasta shrimp; alfredo fettuccine pasta shrimp; alfredo shrimp
N77617,1,166,salmon dishes,grilled salmon; ancho salmon; cherry chipotle enlightened glazed salmon; atlantic grilled salmon; blackened cajun salmon; cedar planked salmon; filet salmon; alaska salmon wild
N78130,1,142,seafood dishes,frita mojarra; caldo camaron de; caldo de pescado; caldo de mariscos; de mariscos sopa; salmon smoked; roll salmon smoked; seafood soup
N77962,1,82,veal dishes,parmigiana veal; marsala veal; piccata veal; parmesan veal; cacciatore veal; francese veal; cutlet parmigiana veal; schnitzel wiener
N78168,1,276,shrimp Mexican dishes,shrimp taco; fajita shrimp; quesadilla shrimp; burrito shrimp; enchiladas shrimp; grilled shrimp taco; camaron de enchiladas; enchiladas seafood
N78123,1,569,pork dishes,pork pulled sandwich; pork sour sweet; cuban sandwich; menudo; garlic pork sauce; hunan pork; carnitas; pork szechuan
N78100,1,212,pork noodle dishes,chow mein pork roast; chop pork suey; dan noodles pasta; chow fun mei pork roast; fun mei pork; bbq chow mein pork; fun mei pork roast; grilled pork vermicelli
N78113,1,40,green bean dishes,bean sauteed string; beans string szechuan; beans garlic green; bean green spicy; beans garlic sauce string; bean fried green stir; bean dried sauteed string; beans dry sauteed string
N78134,1,126,vegetable dishes,moo shu vegetable; chop suey vegetable; roll spring vegetable; chow fun mei vegetable; soup vegetable; basil soupe tomato; fun mei pasta vegetable; noodle pasta soup tofu
N78124,1,249,seafood dishes,cake crab; lobster ravioli; lobster roll; cake crab sandwich; lobster pasta ravioli; crab dungeness; crab shell soft; lobster salmon shrimp
N77824,1,74,filet mignon dishes,filet hibachi mignon; filet steak; filet mignon oz; chicken filet mignon; filet mignon scallops; filet lobster mignon; filet mignon shrimp; fillet shrimp
N77318,2,182,Mexican chicken dishes,chicken chipotle melt; chicken flautas; street taco; taquitos; cheddar chicken fajita; pirata taco; cheese chicken taco; cheesy chicken melt taco
N78107,1,242,rice and vegetable dishes,beans red rice; crab fried meat rice; roll tempura veggie; roll tempura vegetable; fry stir vegetable; idli sambar; potato roll sweet tempura; katsu
N77857,1,307,chicken and potato dishes,potato soft spicy taco; chicken oven roasted wrap; bowl chicken oven roasted; bacon chicken roast swiss; chicken grilled plate; cheddar chicken deluxe; burger pepper smoke; basket chicken strip
N78179,1,425,soup and noodle dishes,lobster sauce shrimp; grits shrimp; pozole; caldo de pollo; soup tortilla; chicken soup; chicken curry katsu; arroz con mariscos
N78106,1,248,tofu vegetable dishes,roll vegetable; fried rice tofu; roll veggie; tofu yakisoba; bowl japanese noodles pan tofu; pad thai vegetable; szechuan tofu; pad thai tofu
N77058,2,164,mexican chicken dishes,bacon baja chicken wrap; bacon baja bowl chicken; chicken taco; flautas; chalupa plates; chicken crispy taco; flautas plate; chicken flautas plate
N76347,2,73,nachos dishes,chicken nacho spicy; fajita nachos; chicken nachos; layer nachos queso; kickin nachos; chicken nachos shredded; nachos texanos; meat nachos
N76473,2,61,green sauce dishes,enchiladas verdes; enchiladas suizas; chilaquiles verdes; enchiladas plate verdes; de enchiladas queso verdes; chicken enchiladas suizas; chilaquiles plate verdes; mole verde
N76651,2,59,mixed meat platters,meats supreme wrap; all bbq drizzle honey hot meat pizza; beef chicken teriyaki; mix parrillada; parillada; beef chicken mongolian; parrillada texana; combination kabob
N76820,2,76,Mexican corn dishes,gordita plate; enchilada taco tamale; gordita pollo; ole tamales; homemade tamales; sweet tamale; supreme tamale; enchilada one taco tamal
N77554,1,124,cheese pupusas gorditas,pupusas; pupusa revuelta; cheese pupusa; de pupusa queso; chicharron gordita; beans cheese pupusa; con de frijol pupusa queso; loroco pupusa
N78108,1,86,fried meat dishes,chicken fried steak; beef curry; country fried steak; country eggs fried steak; chicken eggs fried steak; beef curry onion; beef kebab; chicken fried plate steak
N73467,2,13,cactus dishes,nopales taco; la mexicana nopal taco; cactus taco; nopalazo; de nopal taco; cactus street taco; de guiso nopales; cactus enchilada
N77359,2,111,Mexican combo dishes,enchiladas spinach; burrito chile relleno; burrito chimichanga; chicken chimichanga; chile enchilada relleno; chimichanga lunch; chicken enchiladas spinach; taco trio
